CancerType	Family	Subfamily	NormalCounts	CancerCounts
GBM	L1	L1PA3	0.152,0.208,0.088,0.305,0.317,0.331,3.102,0.100,0.546,1.929,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000	0.033,0.25,4.798,1.763,3.646,0.110,2.865,21.78,1.157,0.470,0.950,0.119,3.253,0.242,0.099,0.362,0.194,22.33,0.254,3.000,0.252,2.980,0.329,0.527,0.783,6.208,0.122,0.316,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
GBM	L1	L1PA2	0.030,0.284,0.233,0.237,0.092,0.031,0.216,0.435,3.656,0.283,0.358,1.278,0.25,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000	0.139,4.387,1.456,3.731,2.740,20.16,0.408,0.402,0.797,0.118,2.249,0.044,0.554,0.394,18.88,0.455,3.038,0.042,1.870,0.221,0.552,0.908,4.979,0.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
GBM	L1	L1PA5	0.039,0.516,0.028,0.245,0.217,3.767,0.178,0.146,1.067,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000	3.974,1.018,3.233,0.300,3.770,16.44,0.706,0.024,1.562,0.098,1.135,0.194,13.89,0.199,0.190,2.021,1.667,0.169,0.202,4.005,0.298,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
GBM	L1	L1PA4	0.152,0.779,0.079,0.090,0.410,4.745,0.320,0.458,2.016,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000	0.436,0.138,5.417,1.245,4.570,0.041,2.888,24.58,0.511,0.032,0.075,0.037,3.122,0.398,0.048,0.640,0.194,21.66,0.199,0.239,3.487,0.252,2.271,0.202,0.154,0.444,5.961,0.053,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
GBM	L1	L1PA7	0.081,0.124,0.049,0.191,2.621,0.147,0.742,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000	0.008,2.596,0.521,1.140,0.041,0.083,0.059,1.708,7.762,0.163,0.874,0.179,9.246,0.065,1.477,0.714,0.208,0.076,0.583,2.790,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
GBM	L1	L1PA8	0.039,0.053,0.191,2.573,0.060,0.323,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000	0.008,1.222,0.665,0.972,0.042,1.175,6.614,0.638,0.125,5.585,0.067,1.759,0.888,0.164,0.074,0.337,2.115,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
GBM	L1	L1	0.980,4.948,0.566,0.149,1.0,0.25,0.023,0.688,0.112,7.790,0.264,0.986,9.528,0.500,0.682,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000	0.551,0.603,15.73,1.709,13.07,23.61,0.857,1.287,1.600,10.60,75.27,3.645,0.050,0.179,16.19,0.494,64.03,0.767,0.300,0.160,3.635,0.082,12.51,0.925,3.785,1.159,30.96,1.225,0.985,1.678,4.018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
GBM	SINE	AluYa4	0.584,0.788,0.306,0.472,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000	0.375,0.258,0.125,0.420,0.495,0.183,0.481,0.133,0.142,0.102,0.227,0.286,0.449,0.592,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
GBM	SINE	AluYb9	0.340,0.587,0.193,1.669,0.166,0.292,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000	0.331,0.347,0.418,0.360,0.698,0.106,0.547,0.354,0.099,0.693,0.701,0.249,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
GBM	SINE	AluYb8	0.524,0.059,0.098,0.349,0.084,0.544,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000	0.233,0.473,0.423,0.529,0.019,1.033,0.407,0.083,0.490,0.25,0.321,0.259,0.433,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
